Dataset,TP,TN,FP,FN,Accuracy,Precision,Recall,F1_score,Threshold
real_asphaltregularity,118,728,31,16,0.9473684210526315,0.7919463087248322,0.8805970149253731,0.8339222614840989,0.5156651746375488
real_charactertrajectories,27,140,31,3,0.8308457711442786,0.46551724137931033,0.9,0.6136363636363636,2551.2550402296624
real_chinatown,41,171,84,4,0.7066666666666667,0.328,0.9111111111111111,0.48235294117647065,0.38743747669992223
