Dataset,TP,TN,FP,FN,Accuracy,Precision,Recall,F1_score,Threshold
real_asphaltregularity,134,0,759,0,0.15005599104143338,0.15005599104143338,1,0.26095423563778,0.9977603582665324
real_charactertrajectories,30,0,171,0,0.14925373134328357,0.14925373134328357,1,0.2597402597402597,0.9900497514754534
real_chinatown,45,33,222,0,0.26,0.16853932584269662,1,0.28846153846153844,0.9933333331719041
