method,variant,precision,recall,f1,accuracy,tp,tn,fp,fn
WICMAD,raw,0.37037037037037035,0.9701492537313433,0.5360824742268041,0.748040313549832,130,538,221,4
WICMAD,deriv,0.25663716814159293,0.8656716417910447,0.39590443686006827,0.6035834266517357,116,423,336,18
depth.FM,raw,0.7703703703703704,0.7761194029850746,0.7732342007434945,0.9316909294512878,104,728,31,30
depth.mode,raw,0.8248175182481752,0.8432835820895522,0.8339483394833948,0.9496080627099664,113,735,24,21
depth.RT,raw,0.580110497237569,0.7835820895522388,0.6666666666666667,0.8824188129899216,105,683,76,29
depth.RP,raw,0.5060975609756098,0.6194029850746269,0.5570469798657718,0.8521836506159015,83,678,81,51
depth.RPD,raw,0.7862068965517242,0.8507462686567164,0.8172043010752688,0.9428891377379619,114,728,31,20
