mc_trial,method,variant,precision,recall,f1,accuracy,tp,tn,fp,fn
46,depth.mode,raw,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
46,depth.RT,raw,0.7592592592592593,0.9111111111111111,0.8282828282828282,0.9433333333333334,41,242,13,4
46,depth.RP,raw,0.68,0.7555555555555555,0.7157894736842104,0.91,34,239,16,11
46,depth.RPD,raw,0.8979591836734694,0.9777777777777777,0.9361702127659575,0.98,44,250,5,1
46,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
46,WICMAD,deriv,1.0,0.9777777777777777,0.9887640449438202,0.9966666666666667,44,255,0,1
47,depth.FM,raw,0.2129032258064516,0.7333333333333333,0.32999999999999996,0.5533333333333333,33,133,122,12
47,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
47,depth.RT,raw,0.82,0.9111111111111111,0.8631578947368421,0.9566666666666667,41,246,9,4
47,depth.RP,raw,0.40625,0.8666666666666667,0.5531914893617021,0.79,39,198,57,6
47,depth.RPD,raw,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9933333333333333,44,254,1,1
47,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
47,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
48,depth.FM,raw,0.23076923076923078,0.6666666666666666,0.3428571428571429,0.6166666666666667,30,155,100,15
48,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
48,depth.RT,raw,0.76,0.8444444444444444,0.8,0.9366666666666666,38,243,12,7
48,depth.RP,raw,0.5588235294117647,0.8444444444444444,0.672566371681416,0.8766666666666667,38,225,30,7
48,depth.RPD,raw,1.0,1.0,1.0,1.0,45,255,0,0
48,WICMAD,raw,1.0,1.0,1.0,1.0,45,255,0,0
48,WICMAD,deriv,0.9782608695652174,1.0,0.989010989010989,0.9966666666666667,45,254,1,0
49,depth.FM,raw,0.19886363636363635,0.7777777777777778,0.3167420814479638,0.49666666666666665,35,114,141,10
49,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
49,depth.RT,raw,0.7096774193548387,0.9777777777777777,0.8224299065420562,0.9366666666666666,44,237,18,1
49,depth.RP,raw,0.4939759036144578,0.9111111111111111,0.640625,0.8466666666666667,41,213,42,4
49,depth.RPD,raw,1.0,0.8888888888888888,0.9411764705882353,0.9833333333333333,40,255,0,5
49,WICMAD,raw,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
49,WICMAD,deriv,1.0,1.0,1.0,1.0,45,255,0,0
50,depth.FM,raw,0.22580645161290322,0.9333333333333333,0.36363636363636365,0.51,42,111,144,3
50,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
50,depth.RT,raw,0.7884615384615384,0.9111111111111111,0.845360824742268,0.95,41,244,11,4
50,depth.RP,raw,0.3644859813084112,0.8666666666666667,0.5131578947368421,0.7533333333333333,39,187,68,6
50,depth.RPD,raw,0.9761904761904762,0.9111111111111111,0.9425287356321839,0.9833333333333333,41,254,1,4
50,WICMAD,raw,0.0,0.0,0.0,0.85,0,255,0,45
50,WICMAD,deriv,1.0,1.0,1.0,1.0,45,255,0,0
51,depth.FM,raw,0.19895287958115182,0.8444444444444444,0.3220338983050847,0.4666666666666667,38,102,153,7
51,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
51,depth.RT,raw,0.803921568627451,0.9111111111111111,0.8541666666666666,0.9533333333333334,41,245,10,4
51,depth.RP,raw,0.42696629213483145,0.8444444444444444,0.5671641791044776,0.8066666666666666,38,204,51,7
51,depth.RPD,raw,0.975609756097561,0.8888888888888888,0.9302325581395349,0.98,40,254,1,5
51,WICMAD,raw,1.0,0.06666666666666667,0.125,0.86,3,255,0,42
51,WICMAD,deriv,1.0,1.0,1.0,1.0,45,255,0,0
52,depth.FM,raw,0.22641509433962265,0.8,0.35294117647058826,0.56,36,132,123,9
52,depth.mode,raw,1.0,1.0,1.0,1.0,45,255,0,0
52,depth.RT,raw,0.6896551724137931,0.8888888888888888,0.7766990291262136,0.9233333333333333,40,237,18,5
52,depth.RP,raw,0.35135135135135137,0.8666666666666667,0.5000000000000001,0.74,39,183,72,6
