method,variant,precision,recall,f1,accuracy,tp,tn,fp,fn
WICMAD,raw,1.0,1.0,1.0,1.0,30,170,0,0
depth.FMp,raw,0.9354838709677419,0.9666666666666667,0.9508196721311476,0.985,29,168,2,1
mrfDepth.fOutl,raw,0.39436619718309857,0.9333333333333333,0.5544554455445544,0.775,28,127,43,2
fdaoutlier.msplot,raw,0.15,1.0,0.2608695652173913,0.15,30,0,170,0
depth.RPp,raw,1.0,0.9666666666666667,0.983050847457627,0.995,29,170,0,1
