mc_trial,method,variant,precision,recall,f1,accuracy,tp,tn,fp,fn
1,depth.FM,raw,0.9130434782608695,0.9333333333333333,0.9230769230769231,0.9766666666666667,42,251,4,3
1,depth.mode,raw,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9866666666666667,43,253,2,2
1,depth.RT,raw,0.7407407407407407,0.8888888888888888,0.808080808080808,0.9366666666666666,40,241,14,5
1,depth.RP,raw,0.6595744680851063,0.6888888888888889,0.6739130434782609,0.9,31,239,16,14
1,depth.RPD,raw,0.25287356321839083,0.4888888888888889,0.33333333333333337,0.7066666666666667,22,190,65,23
1,WICMAD,raw,0.0,0.0,0.0,0.85,0,255,0,45
1,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
2,depth.FM,raw,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.98,42,252,3,3
2,depth.mode,raw,0.9375,1.0,0.967741935483871,0.99,45,252,3,0
2,depth.RT,raw,0.6363636363636364,0.9333333333333333,0.7567567567567568,0.91,42,231,24,3
2,depth.RP,raw,0.5753424657534246,0.9333333333333333,0.7118644067796611,0.8866666666666667,42,224,31,3
2,depth.RPD,raw,0.3188405797101449,0.4888888888888889,0.3859649122807018,0.7666666666666667,22,208,47,23
2,WICMAD,raw,1.0,0.7555555555555555,0.8607594936708861,0.9633333333333334,34,255,0,11
2,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
3,depth.FM,raw,0.95,0.8444444444444444,0.8941176470588236,0.97,38,253,2,7
3,depth.mode,raw,1.0,0.9333333333333333,0.9655172413793104,0.99,42,255,0,3
3,depth.RT,raw,0.6086956521739131,0.9333333333333333,0.7368421052631579,0.9,42,228,27,3
3,depth.RP,raw,0.6440677966101694,0.8444444444444444,0.7307692307692307,0.9066666666666666,38,234,21,7
3,depth.RPD,raw,0.1724137931034483,1.0,0.29411764705882354,0.28,45,39,216,0
3,WICMAD,raw,1.0,0.8444444444444444,0.9156626506024096,0.9766666666666667,38,255,0,7
3,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
4,depth.FM,raw,0.86,0.9555555555555556,0.9052631578947369,0.97,43,248,7,2
4,depth.mode,raw,0.9347826086956522,0.9555555555555556,0.945054945054945,0.9833333333333333,43,252,3,2
4,depth.RT,raw,0.6610169491525424,0.8666666666666667,0.7500000000000001,0.9133333333333333,39,235,20,6
4,depth.RP,raw,0.6491228070175439,0.8222222222222222,0.7254901960784313,0.9066666666666666,37,235,20,8
4,depth.RPD,raw,0.2647058823529412,0.6,0.36734693877551017,0.69,27,180,75,18
4,WICMAD,raw,0.9761904761904762,0.9111111111111111,0.9425287356321839,0.9833333333333333,41,254,1,4
4,WICMAD,deriv,0.0,0.0,0.0,0.8466666666666667,0,254,1,45
5,depth.FM,raw,0.9318181818181818,0.9111111111111111,0.9213483146067416,0.9766666666666667,41,252,3,4
5,depth.mode,raw,1.0,0.9555555555555556,0.9772727272727273,0.9933333333333333,43,255,0,2
5,depth.RT,raw,0.6551724137931034,0.8444444444444444,0.7378640776699029,0.91,38,235,20,7
5,depth.RP,raw,0.5384615384615384,0.9333333333333333,0.6829268292682926,0.87,42,219,36,3
5,depth.RPD,raw,0.1951219512195122,0.7111111111111111,0.3062200956937799,0.5166666666666667,32,123,132,13
5,WICMAD,raw,1.0,0.8444444444444444,0.9156626506024096,0.9766666666666667,38,255,0,7
5,WICMAD,deriv,1.0,0.022222222222222223,0.04347826086956522,0.8533333333333334,1,255,0,44
6,depth.FM,raw,0.8958333333333334,0.9555555555555556,0.924731182795699,0.9766666666666667,43,250,5,2
6,depth.mode,raw,0.8958333333333334,0.9555555555555556,0.924731182795699,0.9766666666666667,43,250,5,2
6,depth.RT,raw,0.6610169491525424,0.8666666666666667,0.7500000000000001,0.9133333333333333,39,235,20,6
6,depth.RP,raw,0.6,0.9333333333333333,0.7304347826086957,0.8966666666666666,42,227,28,3
6,depth.RPD,raw,0.2413793103448276,0.4666666666666667,0.3181818181818182,0.7,21,189,66,24
6,WICMAD,raw,1.0,0.7111111111111111,0.8311688311688311,0.9566666666666667,32,255,0,13
6,WICMAD,deriv,0.0,0.0,0.0,0.85,0,255,0,45
