method,variant,precision,recall,f1,accuracy,tp,tn,fp,fn
WICMAD,raw,0.0,0.0,0.0,0.85,0,255,0,45
WICMAD,raw+d1,0.0,0.0,0.0,0.63,0,189,66,45
WICMAD,raw+d1+d2,0.0,0.0,0.0,0.8466666666666667,0,254,1,45
depth.FM,raw,0.6585365853658537,0.6,0.627906976744186,0.8933333333333333,27,241,14,18
depth.mode,raw,0.7073170731707317,0.6444444444444445,0.6744186046511628,0.9066666666666666,29,243,12,16
depth.RT,raw,0.28865979381443296,0.6222222222222222,0.3943661971830986,0.7133333333333334,28,186,69,17
depth.RP,raw,0.37254901960784315,0.4222222222222222,0.3958333333333333,0.8066666666666666,19,223,32,26
depth.RPD,raw,0.47435897435897434,0.8222222222222222,0.6016260162601627,0.8366666666666667,37,214,41,8
