dataset,representation,mc_run,accuracy,precision,recall,f1
uni_isolated_raw,raw,81,0.2,0.1111111111111111,1.0,0.19999999999999998
uni_isolated_raw,raw,82,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,83,0.175,0.08571428571428572,0.75,0.15384615384615383
uni_isolated_raw,raw,84,0.375,0.13793103448275862,1.0,0.2424242424242424
uni_isolated_raw,raw,85,0.125,0.0,0.0,NaN
uni_isolated_raw,raw,86,0.85,0.3333333333333333,0.5,0.4
uni_isolated_raw,raw,87,0.975,1.0,0.75,0.8571428571428571
uni_isolated_raw,raw,88,0.2,0.08823529411764706,0.75,0.15789473684210525
uni_isolated_raw,raw,89,0.175,0.06060606060606061,0.5,0.10810810810810813
uni_isolated_raw,raw,90,0.2,0.08823529411764706,0.75,0.15789473684210525
uni_isolated_raw,raw,91,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,92,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,93,0.2,0.08823529411764706,0.75,0.15789473684210525
uni_isolated_raw,raw,94,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,95,0.975,0.8,1.0,0.888888888888889
uni_isolated_raw,raw,96,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,97,0.225,0.11428571428571428,1.0,0.20512820512820512
uni_isolated_raw,raw,98,0.2,0.08823529411764706,0.75,0.15789473684210525
uni_isolated_raw,raw,99,0.125,0.0,0.0,NaN
uni_isolated_raw,raw,100,0.95,0.6666666666666666,1.0,0.8
